seeds: 858905075 56936593 947763189 267019426 206349064 252409474 660226451 92561087 752930744 24162055 75704321 63600948 3866217991 323477533 3356941271 54368890 1755537789 475537300 1327269841 427659734

seed-to-soil map:
155461856 2688731658 31130392
3624223750 2439220990 158522039
3782745789 828496007 83184667
1329508120 2383184162 2195641
1221066973 4005538912 108441147
3908459768 630332333 84015758
3174818941 2385379803 53841187
1929319035 442552891 126280229
2999332985 2077874265 61338040
4047976345 4113980059 50652162
3509978464 2319317936 63866226
2676242573 568833120 11879128
4146174193 3589840038 35847908
3865930456 2986517951 42529312
1737209176 3963710397 41828515
2545388005 3458985470 130854568
388171875 2946497456 40020495
3396281190 4164632221 79956015
186592248 1068698177 201579627
3060671025 714348091 114147916
2841183920 2139212305 158149065
2055599264 3290256747 27665085
2770917385 3029047263 24920289
4203978667 2597743029 90988629
2795837674 911680674 45346246
2083264349 2813972956 124101205
3573844690 4244588236 50379060
3228660128 274931829 167621062
1331703761 1270277804 23145153
123824510 3053967552 31637346
1354848914 63482157 211449672
1566298586 3085604898 170910590
63482157 3398643117 60342353
3476237205 3256515488 33741259
1212643678 2938074161 8423295
4182022101 2297361370 21956566
3992475526 2758472137 55500819
428192370 1293422957 784451308
1817647778 957026920 111671257
2690196100 3317921832 80721285
1779037691 2719862050 38610087
4098628507 582786647 47545686
2207365554 3625687946 338022451
2688121701 580712248 2074399

soil-to-fertilizer map:
2233530624 2071120505 422489795
3959649465 4044567411 67616189
457224864 3135270167 41569374
3394360972 4112183600 182783696
813178253 653702020 183734547
498794238 2963315974 171954193
3577144668 3394360972 216442995
996912800 2493610300 327275852
3309722439 3282071367 51304963
670748431 2820886152 142429822
1324188652 3273822993 8248374
3793587663 4006086952 11248169
2190085090 3176839541 43445534
2656020419 0 653702020
4267735006 4017335121 27232290
1396875915 3333376330 27651072
4027265654 3610803967 240469352
1424526987 1241123513 765558103
403686946 3220285075 53537918
3804835832 3851273319 154813633
1332437026 2006681616 64438889
0 837436567 403686946

fertilizer-to-water map:
490664090 841327865 158559818
3248785910 3009217852 86780947
3361383178 811709798 29618067
1492567300 999887683 10142868
708758546 1053715632 8318621
2922655819 2337575757 139997093
412870134 1010030551 43685081
825309561 1895146974 205741813
3832608203 4026085284 5525526
2833741007 722794986 88914812
1502710168 0 86876502
1091543314 2480502815 191523114
2191676162 1359275248 59328417
3724763033 3918240114 107845170
4132175069 4031610810 162792227
1589586670 3262683858 70888723
3932786977 4194403037 100564259
649223908 2280749089 56826668
717077167 268230878 108232394
4033351236 3819416281 98823833
2417689638 1418603665 416051369
3062652912 3333572581 186132998
1438604483 2100888787 28445966
398871700 1190738587 13998434
456555215 2975108977 34108875
2062848712 2151921639 128827450
1283066428 112692823 155538055
0 475753543 244333473
3838133729 3724763033 94653248
244333473 1204737021 154538227
1963558441 376463272 99290271
3335566857 86876502 25816321
3497674085 1062034253 22031494
706050576 720087016 2707970
1467050449 2129334753 22586886
1660475393 2672025929 303083048
3391001245 1084065747 106672840
1031051374 1834655034 60491940
1489637335 2477572850 2929965
2251004579 3095998799 166685059

water-to-light map:
2001282667 520918173 10302354
2377955968 3484205484 30954740
3394017453 2582587136 46684978
99573517 443623963 59355616
2759073879 2842283022 106219470
3153456782 2203695607 115107673
1088011149 228872916 37401521
823056142 1852553918 234443509
1892663777 1743935028 108618890
2223186841 3648924866 154769127
3440702431 3849149039 360654480
1125412670 266274437 146838028
2524006636 2432683670 149903466
86866324 508210980 12707193
3289576295 3621907778 27017088
659725308 531220527 163330834
336816212 1738401718 5533310
1057499651 413112465 30511498
1495475061 998625681 113056371
1277482099 1111682052 217992962
4022707650 2629272114 213010908
1611665062 1454269373 134219470
1272250698 502979579 5231401
